ITEM,PENET,PCYCLE,PRICE,PVTSH ,PUR/HH 
BEER,62.3,11.1,46,5.16,0.4
WINE,42.9,5.8,59,4.58,1
FRESH_BRE,98.6,26.6,21,1.3,39.4
CUPCAKES,27.4,2.5,60,1.11,3.5
MUFF/BAGE,56,5.9,59,1.24,32.6
PIES/CAKE,30.6,3.2,71,2.23,18.2
PASTRY,64.3,6.3,58,1.77,17
SNACK_PAS,60.4,6.7,54,1.4,1.1
SNDWCH_RO,82.1,7.6,48,1.12,56.3
TABLE_ROL,53.8,3.5,81,1.19,35.2
BREATH_FR,34,3.1,75,0.73,0
CANDY,91.5,10,49,1.82,2.4
PLAIN_MIN,20,2.6,74,1.13,14.7
BUBBLE_GU,33.1,3.8,68,0.61,2.8
CHEWING_G,55.4,5.8,62,0.72,0
BUTTER/MA,98.6,16.1,30,1.46,20.1
CREAM_CHE,71.6,4.7,72,1.28,33.4
GRATED_CH,48.5,2.4,105,1.88,19.2
NATURAL_C,84.2,8,54,2.35,25.8
PROCESSED,76.9,7.9,53,2.05,22.9
RICOTTA_C,19.2,2.7,93,2.18,20.3
SNACK_CHS,51.9,3.2,77,1.76,10.5
SPECLTY_C,11.1,2.1,84,1.65,31.9
STRING_CH,9.4,2.8,63,1.54,0
COFFEE_CR,31.2,6,66,1.26,14.9
COTTAGE_C,79.6,8.7,48,1.31,32.6
CREAM,49.2,6.7,66,1.05,38.2
SOUR_CREA,69.5,5,70,1.03,33.9
PRP_SNCKD,47.3,3.3,77,1.19,11.6
EGGS,98,17.9,28,1.09,67.9
DAIRY_DRI,5.7,2.6,59,1.67,15.4
MILK,98.7,37.7,14,1.81,46.7
YOGURT,63.8,9,44,1.56,19.2
FRZ_BKFST,51.3,5.1,63,1.74,5.2
FROZ_FISH,63,4.4,69,3.29,6.8
FROZ_BERR,25.9,2.3,79,1.85,63.8
FROZ_MEAT,21.9,2.9,75,3.22,5.5
FROZ_PIZZ,64.7,5.9,62,3.07,13.2
FROZ_POT_,39.3,3,78,1.75,9.7
FROZ_POTA,66.1,5.4,65,1.58,28.8
FROZPKGPL,42.5,3.9,68,3.48,2.6
FROZ_DINN,52,5,63,4.11,1.9
FROZ_ENTR,76.3,7.8,53,3.59,1.1
FROZ/RFGD,66.2,5.4,70,1.36,24.7
SPCLTY_DO,33.6,3.6,74,1.25,1.8
FRZ_SID_D,17.1,2.7,80,1.82,0
FROZ_SNAC,24.3,2.4,85,2.28,0
PLN_FRZ_V,86.3,8.7,54,1.72,60.5
SPCL_FRZ_,60,4.1,74,1.78,28.1
FROZ_BKD_,33.7,4.5,61,1.35,1
FROZ_WT_B,43.5,3.7,69,2.29,0
FROZ_PIE,37.3,2.5,82,2.41,1
PIE_CRUST,38.3,2.5,83,1.54,13.8
RFG_WHP_D,11.1,2.9,59,1.61,0
RFG_WHP_T,71.7,4,77,1.14,27.1
FROZ_NVLT,79,7.3,42,2.43,0.4
ICRM/FRZ_,93.3,10.4,43,2.6,34.6
ICES,2,2.1,43,1.8,0
SHERBET,29.6,2.1,71,1.71,36.1
EXT_ANALG,7.3,1.4,92,2.77,0
INT_ANALG,58.8,3.5,82,2.95,24.4
