Anomia67	Powles67	Anomia71	Powles71	Educ	SEI
3.68	4.3	5.3	2.84	4.74	24.88
3.14	-0.17	1.43	4.82	5.52	23.7
10.77	6.31	7.14	5.02	0.7	19.82
8.9	6.3	9.39	6.58	0.33	18.31
13.12	9.71	11.97	10.48	-0.27	16.96
3.06	4.57	4.45	6.68	0.73	20.94
1.3	-2.3	6.76	4.72	3.13	19.9
4.43	1.38	0.97	-2.17	2.65	21.35
9.71	8.01	10.87	7.07	-3.22	19.61
3.34	4.2	-2.8	0.47	8.39	23.22
4.26	4.85	4.52	2.72	1.36	21.71
-1.05	-0.28	2.43	-2.29	4.06	19.88
-1.34	0.33	2.44	6.57	1.28	20.9
8.63	4.94	7.05	0.14	3.6	20.01
0.03	-0.5	-3.8	-3.66	6.49	20
4.18	3.3	1.74	4.29	0.68	22.35
3.68	3.68	1.78	2.92	-0.97	20.85
11.44	7.57	8.4	5.64	4.19	22.42
0.24	2.83	4.82	1.47	5.47	23.81
4.89	5.04	-2.42	0.62	0.18	18.23
6.56	4.28	7.31	7.9	0.8	19.63
5.07	2.99	2.81	4.31	4.33	23.87
8.12	4.5	5.56	6.43	5.66	22.16
7.26	1.49	4.81	1.73	-1.03	22.29
5.12	2.09	0.96	1.24	3.24	22.52
3.45	1.31	-0.06	-3.95	6.4	24.32
0.27	3.41	-0.68	1.27	0.05	19.81
-0.23	1.67	5.4	2.29	3.8	26.05
2.27	4.73	2.46	3.86	6.01	24.4
0.17	0.13	0.39	0.25	4.04	19.85
2.06	0.99	1.93	0.65	4.51	21.04
7.65	3.36	0.01	2.88	0.63	18.16
3.27	5.61	4.64	3.46	0.46	20.07
2.48	4.77	-0.19	0.77	1.31	23.84
4.14	4.12	4.02	2.33	-2.15	21.02
-2.88	-3.1	0.8	-2.38	9.62	25.36
5.35	4.18	7.92	7.59	0.89	16.68
1.94	1.37	-0.43	-3.28	7.42	23.61
8.28	-0.35	3.46	1.71	1.93	22.36
3.66	2.26	5.28	2.25	7.05	24.97
4.26	2.49	2.07	2.46	5.85	22.03
7.01	5.28	6.57	6.84	-0.5	20.8
5.08	6.77	1.56	4	1.21	20.18
6.05	5.76	6.75	5.68	-1.88	21.52
8.23	7.5	1.61	4.68	-6.08	18.85
-0.63	0.03	-2.7	0.46	2.73	19.34
-2.71	-0.34	0.05	1.53	8.24	21.18
1.09	5.64	2.05	4.58	3.28	20.8
2.13	-1.16	1.56	-1.97	2.72	20.98
3.86	1.86	-0.32	3.44	1.07	18.36
2.96	-0.72	5.1	3.12	3.31	23.8
0.49	-1.2	0.41	-2.09	8.59	21.22
5.62	2.92	2.58	1.97	-0.96	21.72
-7.05	-4.64	-7.41	-2.66	6.17	22.46
7.9	3.69	9.9	2.81	-1.76	17.51
7.25	8.29	2.67	0.59	0.26	23.07
4.09	11.35	3.09	4.18	2.38	19.38
5.94	2.85	1.4	-0.09	3.36	17.52
2.7	5.07	7.25	1.68	-2.31	21.21
1.84	7.18	6.68	6.01	1.56	18.54
1.5	2.83	1.06	3.9	5.15	20.46
6.82	4.21	3.03	2.35	3.4	17.39
8.61	4.07	2.8	-0.75	5.15	21.96
1.48	3.14	1.21	1.8	7.04	24.99
3.82	1.01	3.56	-1.1	4.37	21.36
5.01	5.64	3.95	3.94	4.9	20.28
5.42	2.91	3.01	1.58	0.09	20.89
1.29	-0.31	5.62	4.63	1.88	18.26
4.03	2.79	1.71	0.6	4.27	20.02
8.5	6.46	1.17	5.11	5.29	24.24
7.44	8.3	6.15	6.77	2.03	18.22
-1.85	3.15	3.23	2.03	3.46	23.95
-1.28	0.58	0.68	0.75	5.5	23.61
2.77	3.57	1.98	5.48	6.84	21.95
1.51	-2.07	6.54	3.54	5.09	18.34
3.02	0.99	5.42	4.09	-0.75	19.51
4.34	6.71	5.87	8.16	0.31	19.02
2.54	-0.09	0.6	-0.36	2.2	18.23
6.39	4.73	4.16	3.11	2.09	22.34
2.65	2.13	3.92	0.41	4.02	20.34
6.47	2.38	7.54	5.26	2.36	20.13
4.46	3.01	6.34	7.05	-4.17	18.74
7.59	5.44	6.99	5.93	3.98	18.9
2.25	1.48	-2.11	-4.72	5.04	22.32
1.35	4.29	-0.03	-0.43	-0.8	21.62
5.49	2.25	1.24	0.53	-0.34	17.73
3.84	1.72	3.73	2.53	5.31	21.07
0.07	2.56	0.52	2.53	4.96	21.64
4.89	6.36	2.91	2.65	0.39	18.77
0.09	-1.09	3.64	2.55	7.24	24.06
10.3	3.73	9.19	1.75	3.73	20.62
-0.95	-2.75	-1.04	-2.44	9.52	25.03
3.11	1.41	-0.92	0.79	5.48	21.06
12.59	9.5	7.57	8.33	-0.94	18.4
1.26	-0.44	-2.75	-2.34	7.07	23.87
-1.01	-2.12	2.6	-0.82	4.19	21.34
-0.3	-0.96	2.05	4.55	5.08	23.09
-0.31	0.87	1.92	-0.03	3.23	23.88
-1.1	4.45	2.4	2.51	0.03	21.16
3.49	5.54	0.74	1.84	-3.65	20.57
3.95	1.49	5.65	5.04	5.86	25.34
1.77	1.7	-0.46	2.56	1.21	14.39
4.27	5.97	8.1	7.25	2.97	19.37
2.13	-1.92	3.92	-2.77	6.02	20.82
2.73	-1.96	-0.24	-1.73	1.42	20.32
7.84	8.53	7.06	5.87	-2.71	18.03
2.65	2.49	2.92	0.52	1.54	19.87
2.77	0.72	2.76	2.11	3.46	25.24
2.76	7.14	7.1	7.42	-1.76	21.39
2.49	5.63	5.6	5.49	5.08	22.15
7.43	3.28	2.3	2.67	0.91	20.15
-2.67	2.52	-1.38	1.66	5.77	22.97
6.14	4.29	5.51	5.75	-4.28	17.34
5.32	6.13	3.99	4.27	3.43	20.16
4.79	3.44	1.41	0.35	2.34	23.06
-1.81	1.61	1.96	5.26	0.48	21.56
1.51	3.47	3.01	-0.78	4.63	24.54
2.9	5.06	3.45	1.08	5.98	20.43
4.5	3.23	3.31	4.63	-0.69	19.69
-0.9	0.78	1.55	0.51	3.52	20.49
5.91	4.97	1.25	0.8	3.53	22.07
2.33	3.12	-0.38	2.08	2.81	22.51
-0.83	1.27	-6.43	-4.71	4.78	20.75
2.22	0.29	2.62	2.06	5.41	22.27
11.98	10.93	15.63	12.2	-0.04	18.69
1.78	1.68	-2.4	0.78	3.02	21.82
7.14	7.78	7.24	4.68	1.64	23.07
8.47	-1.55	4.15	1.7	2.31	18.51
6.84	3.91	7.22	4.41	0.07	18.92
5.47	0.16	5.28	0.98	-1.08	18.93
1.35	1.13	7.06	1.88	3.05	20.03
-0.82	4.7	0.07	0.98	1.73	20.84
1.18	4.55	3.43	5.27	1.4	18.55
3.81	1.66	2.84	-3.06	3.42	21.5
5.64	5.3	12.78	6.88	-0.08	20.07
10.2	8.11	11.93	9.2	0.01	22.54
-2.29	-4.01	-0.2	-0.89	1.11	20.3
5.83	3.29	7.25	6.93	-1.54	16.87
6.34	8.35	4.68	8.05	-3.01	20.62
7.14	5.26	5.01	0.84	-1.06	21.17
2.31	2.13	7.59	5.3	-2.25	17.07
-0.33	0.05	-1.41	-0.08	0.49	23.18
14.73	9.67	12.1	8.72	2.3	20.03
8.1	5.93	4.06	2.58	3.6	21.25
3.38	2.72	2.42	0.95	-2.08	18.12
