rowtype_	varname_	y1	y2	y3	y4	y5	y6	y7	y8	x1	x2	x3
n		75	75	75	75	75	75	75	75	75	75	75
cov	y1	6.89										
cov	y2	6.25	15.58									
cov	y3	5.84	5.84	10.76								
cov	y4	6.09	9.51	6.69	11.22							
cov	y5	5.06	5.6	4.94	5.7	6.83						
cov	y6	5.75	9.39	4.73	7.44	4.98	11.38					
cov	y7	5.81	7.54	7.01	7.49	5.82	6.75	10.8				
cov	y8	5.67	7.76	5.64	8.01	5.34	8.25	7.59	10.53			
cov	x1	0.73	0.62	0.79	1.15	1.08	0.85	0.94	1.1	0.54		
cov	x2	1.27	1.49	1.55	2.24	2.06	1.81	2	2.23	0.99	2.28	
cov	x3	0.91	1.17	1.04	1.84	1.58	1.57	1.63	1.69	0.82	1.81	1.98
